"U Neu-Westend (Berlin)","13.259288","52.516236",,"Treppe",,"not-barrier-free",,,,,,,,
"U Nollendorfplatz (Berlin)","13.354293","52.499430","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Olympia-Stadion (Berlin)","13.249678","52.517262","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Onkel Toms Hütte (Berlin)","13.25297","52.449894",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Oranienburger Tor (Berlin)","13.387329","52.52542","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Oskar-Helene-Heim (Berlin)","13.269988","52.450273",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Osloer Str. (Berlin)","13.373763","52.556746","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Otisstr. (Berlin)","13.302897","52.571066",,"Treppe",,"not-barrier-free",,,,,,,,
"U Pankstr. (Berlin)","13.381411","52.552302",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Paracelsus-Bad (Berlin)","13.34851","52.574242","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Paradestr. (Berlin)","13.385865","52.47824","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Parchimer Allee (Berlin)","13.449546","52.444698",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Paulsternstr. (Berlin)","13.247721","52.538185",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Platz der Luftbrücke (Berlin)","13.385951","52.485136",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Podbielskiallee (Berlin)","13.296536","52.464376",,"Treppe",,"not-barrier-free",,,,,,,,
"U Prinzenstr. (Berlin)","13.405828","52.498378","teilweise Zugang ohne Stufen","Aufzug","nur Richtung Warschauer Str.","partially-barrier-free",,,,,,,,
"U Rathaus Neukölln (Berlin)","13.434502","52.481446","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Rathaus Reinickendorf (Berlin)","13.325374","52.5881","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
