lat	lon	title	description	icon	iconSize	iconOffset
28.0600556	-82.4129718		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0599571	-82.4130061		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0601359	-82.4086321		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0599609	-82.4132773		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0599571	-82.4131263		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0590979	-82.4146197		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0603257	-82.4138272		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0600910	-82.4134115		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0608711	-82.4134115		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0618112	-82.4088021		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0609032	-82.4131285		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0608274	-82.4130169		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0609032	-82.4133087		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0596231	-82.4115664		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0602518	-82.4129997		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0591386	-82.4166859		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0591345	-82.4176609		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0607677	-82.4176918		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0604979	-82.4170772		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0607251	-82.4177724		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0604641	-82.4176815		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0603808	-82.4176815		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0591895	-82.4177647		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.062568	-82.4193569		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0625377	-82.4193912		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.062674	-82.4194255		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0591386	-82.4177416		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0599952	-82.4165451		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0616956	-82.4088063		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0595273	-82.4114335		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0597747	-82.4166577		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0634331	-82.4174068		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0634634	-82.4174412		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0597749	-82.4174240		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0597749	-82.4175244		wheelchair node	/images/barrier-free.png	28,34	-8,-8
